n_el  name       dist[m]     Energy[MeV/u] (W-Wtmp)/Wtmp,%   x_rms[cm]      y_rms[cm]      Xmax[cm]       Ymax[cm]     phi_rms[deg]   phi_max[deg]   DW/W[rel.u.]   4*exn_rms[cm*mrad]   exn99.5[cm*mrad]    exn_max[cm*mrad]   4*eyn_rms[cm*mrad]   eyn99.5[cm*mrad]    eyn_max[cm*mrad]   4*ezn_rms[keV/u*ns]  ezn99.5[keV/u*ns]    ezn_max[keV/u*ns]     Xc[cm]       X'c[mrad]        Yc[cm]       Y'c[mrad]        btgm          Zc[deg]          a_x        b_x[cm/mrad]       a_y        b_y[cm/mrad]       a_z        b_z[deg/(%ofD_W/W)]  #of_lost_part  total#of_part 
  55  drift     12.00000        1.76696       -0.56867        0.33518        0.33633        0.95799        0.93832        3.16076        9.62580        0.00337           0.11293             0.18907             0.23199             0.11403             0.18887             0.22894             2.39359             5.34186            12.00419          0.03160       -0.23341       -0.02084        0.08030        0.06180       -1.27263        0.32293        0.24592        0.32579        0.24521        0.41095          10.14313              0.0        100001.0
  56  cav       12.36000        1.92000       -0.36797        0.32973        0.33115        0.91441        0.91812        3.33614       10.99396        0.00272           0.11308             0.18964             0.22876             0.11422             0.19009             0.22765             2.35124             4.81349            10.09118          0.02336       -0.17275       -0.01854       -0.06898        0.06436        0.06157       -0.49552        0.24750       -0.49896        0.24715       -0.18477          12.47462              0.0        100001.0
  57  drift     12.44000        1.92000       -0.36797        0.33522        0.33671        0.93099        0.93307        3.31061       11.07555        0.00272           0.11308             0.18949             0.22913             0.11422             0.19010             0.22794             2.35103             4.80331            10.06983          0.02198       -0.17273       -0.01909       -0.06900        0.06436        0.28571       -0.54101        0.25581       -0.54459        0.25552       -0.13015          12.28557              0.0        100001.0
  58  sol3d     12.84000        1.92000       -0.36790        0.32715        0.32740        0.88424        0.91977        3.31493       11.49746        0.00272           0.11324             0.19078             0.22958             0.11398             0.19054             0.22957             2.34967             4.78440             9.98831         -0.00026       -0.37172       -0.02448        0.22202        0.06436        1.41704        0.84506        0.24331        0.84080        0.24211        0.14122          12.32479              0.0        100001.0
  59  drift     12.90000        1.92000       -0.36790        0.32046        0.32070        0.86571        0.90230        3.33487       11.56298        0.00272           0.11324             0.19076             0.22955             0.11398             0.19054             0.22985             2.34957             4.78825             9.97552         -0.00249       -0.37172       -0.02315        0.22201        0.06436        1.58520        0.79901        0.23345        0.79475        0.23230        0.18211          12.47406              0.0        100001.0
  60  cav       13.26000        2.07458       -0.13374        0.28742        0.28810        0.78698        0.81358        3.35487       11.04728        0.00260           0.11292             0.18935             0.23092             0.11369             0.18880             0.22638             2.35374             4.90338             9.61447         -0.01568       -0.30995       -0.01538        0.08161        0.06682        2.41671        0.18193        0.19555        0.17312        0.19514       -0.33102          13.58439              0.0        100001.0
  61  drift     13.34000        2.07458       -0.13372        0.28557        0.28634        0.78668        0.80647        3.31076       10.70749        0.00260           0.11292             0.18948             0.23079             0.11369             0.18893             0.22653             2.35396             4.89807             9.62292         -0.01816       -0.30996       -0.01473        0.08161        0.06682        2.49537        0.13456        0.19303        0.12581        0.19277       -0.27867          13.22827              0.0        100001.0
  62  sol3d     13.74000        2.07458       -0.13377        0.25751        0.25715        0.72250        0.70604        3.20104       11.75447        0.00259           0.11329             0.18911             0.22594             0.11332             0.18986             0.22710             2.35562             4.91039             9.72355         -0.03286       -0.28305       -0.00146        0.12475        0.06682        2.89455        0.73521        0.15645        0.72579        0.15597       -0.01629          12.35732              0.0        100001.0
  63  drift     13.80000        2.07458       -0.13377        0.25047        0.25020        0.70330        0.68581        3.20153       11.93289        0.00259           0.11329             0.18914             0.22571             0.11332             0.18997             0.22724             2.35585             4.91998             9.74254         -0.03456       -0.28307       -0.00071        0.12475        0.06682        2.95373        0.67220        0.14802        0.66314        0.14765        0.02316          12.35989              0.0        100001.0
  64  cav       14.16000        2.22847        0.17458        0.21910        0.21964        0.64145        0.60502        3.15987       12.65037        0.00263           0.11300             0.18881             0.22451             0.11302             0.18861             0.22889             2.39506             5.43931            11.47534         -0.04492       -0.31424        0.00408        0.00690        0.06915        3.08665        0.12849        0.11751        0.11777        0.11806       -0.33667          12.68252              0.0        100001.0
  65  drift     14.24000        2.22847        0.17457        0.21776        0.21845        0.64339        0.60460        3.11637       12.65120        0.00262           0.11300             0.18870             0.22464             0.11302             0.18870             0.22928             2.39503             5.43054            11.50538         -0.04743       -0.31427        0.00414        0.00689        0.06915        2.98907        0.05390        0.11608        0.04368        0.11679       -0.28147          12.33592              0.0        100001.0
  66  sol3d     14.64000        2.22846        0.17440        0.19560        0.19523        0.58871        0.57418        3.01189       12.67439        0.00261           0.11344             0.18886             0.22726             0.11264             0.18807             0.23304             2.39386             5.40173            11.56686         -0.04564        0.04922        0.02371       -0.09429        0.06915        2.50669        0.47833        0.09329        0.47147        0.09360       -0.00696          11.52820              0.0        100001.0
  67  drift     14.70000        2.22846        0.17437        0.19004        0.18978        0.56888        0.56080        3.01348       12.68069        0.00261           0.11344             0.18871             0.22708             0.11264             0.18810             0.23280             2.39359             5.39983            11.56280         -0.04534        0.04921        0.02315       -0.09429        0.06915        2.43373        0.39516        0.08806        0.38895        0.08845        0.03459          11.54169              0.0        100001.0
  68  cav       15.06000        2.35414        0.38037        0.18272        0.18312        0.54354        0.53950        2.87015       11.79493        0.00306           0.11339             0.18881             0.22831             0.11257             0.18852             0.23274             2.40243             5.51943            11.99877         -0.04440       -0.02481        0.01905       -0.21384        0.07101        1.79135       -0.30292        0.08363       -0.31063        0.08460       -0.61322          10.99698              0.0        100001.0
